Exercise_ID,Exercise_Name,Muscle_Group,Difficulty,Workout_Type,Equipment,Duration_Min,Calories_Burned_Per_Hour,Sets,Reps,Rest_Time_Sec,Recommended_Goal
32,Burpees,Full Body,Intermediate,Flexibility,None,37,724,3,25,70,Weight Loss
33,Plank,Core,Intermediate,Flexibility,None,80,402,5,8,155,Maintenance
34,Lat Pulldown,Back,Intermediate,Endurance,Barbell,22,390,6,13,79,Muscle Gain
35,Jump Rope,Cardio,Advanced,HIIT,Resistance Band,79,429,3,20,43,Maintenance
36,Squats,Legs,Beginner,Cardio,Machine,51,435,5,9,56,Maintenance
37,Burpees,Full Body,Advanced,Flexibility,Machine,37,768,3,16,129,Weight Loss
38,Shoulder Press,Shoulders,Advanced,HIIT,None,25,412,2,7,113,Muscle Gain
39,Crunches,Core,Intermediate,HIIT,Barbell,32,962,5,8,63,Maintenance
40,Cycling,Cardio,Intermediate,Endurance,Dumbbells,32,634,1,24,173,Weight Loss
41,Tricep Pushdown,Triceps,Intermediate,Strength,None,47,869,6,8,135,Endurance
42,Lateral Raises,Shoulders,Advanced,Flexibility,None,47,832,1,15,144,Muscle Gain
43,Push-Ups,Chest,Intermediate,Strength,None,48,835,6,11,88,Muscle Gain
44,Lateral Raises,Shoulders,Advanced,Strength,Dumbbells,17,639,4,12,87,Endurance
45,Swimming,Cardio,Beginner,Cardio,Machine,17,933,2,16,54,Weight Loss
46,Plank,Core,Advanced,HIIT,Barbell,63,613,3,14,106,Muscle Gain
47,Tricep Pushdown,Triceps,Beginner,Endurance,Machine,56,324,4,16,71,Weight Loss
48,Lat Pulldown,Back,Beginner,Flexibility,Dumbbells,84,553,4,16,121,Weight Loss
49,Bench Press,Chest,Intermediate,Flexibility,None,17,790,3,18,147,Maintenance
50,Burpees,Full Body,Beginner,Strength,None,15,664,3,15,118,Muscle Gain
51,Shoulder Press,Shoulders,Advanced,Cardio,Barbell,60,970,3,24,162,Maintenance
52,Deadlift,Full Body,Beginner,Strength,Machine,66,340,5,5,152,Weight Loss
53,Lat Pulldown,Back,Intermediate,Strength,Barbell,28,463,3,8,125,Endurance
54,Lat Pulldown,Back,Advanced,Flexibility,Dumbbells,12,186,1,11,49,Weight Loss
55,Cycling,Cardio,Beginner,HIIT,Dumbbells,35,323,5,11,111,Endurance
56,Shoulder Press,Shoulders,Intermediate,Flexibility,Barbell,16,879,3,17,79,Weight Loss
57,Crunches,Core,Beginner,HIIT,Resistance Band,41,167,2,21,96,Endurance
58,Jump Rope,Cardio,Advanced,Cardio,Machine,49,473,3,8,151,Muscle Gain
59,Bicep Curls,Biceps,Beginner,Strength,Dumbbells,48,656,3,8,106,Maintenance
60,Cycling,Cardio,Advanced,Endurance,Resistance Band,57,878,4,11,98,Muscle Gain
61,Leg Press,Legs,Advanced,Endurance,Resistance Band,40,745,4,13,85,Muscle Gain
62,Tricep Pushdown,Triceps,Advanced,Flexibility,Dumbbells,89,641,1,18,175,Maintenance
63,Tricep Pushdown,Triceps,Beginner,Endurance,Dumbbells,23,885,5,18,61,Maintenance
64,Bench Press,Chest,Advanced,HIIT,Dumbbells,44,375,6,13,88,Muscle Gain
65,Jump Rope,Cardio,Beginner,Flexibility,None,59,688,3,10,134,Maintenance
66,Cycling,Cardio,Beginner,HIIT,None,77,839,1,15,92,Weight Loss
67,Pull-Ups,Back,Beginner,Flexibility,Dumbbells,49,166,4,23,44,Muscle Gain
68,Running,Cardio,Intermediate,Cardio,Dumbbells,49,332,3,20,59,Weight Loss
69,Running,Cardio,Beginner,Strength,Dumbbells,85,426,3,8,172,Weight Loss
70,Swimming,Cardio,Intermediate,Cardio,Dumbbells,52,561,5,11,114,Weight Loss
71,Walking,Cardio,Intermediate,Cardio,Barbell,77,277,4,7,38,Muscle Gain
72,Squats,Legs,Beginner,HIIT,Dumbbells,53,313,3,22,143,Maintenance
73,Lat Pulldown,Back,Beginner,Cardio,Barbell,86,857,5,8,93,Maintenance
74,Pull-Ups,Back,Beginner,Strength,Dumbbells,84,864,4,19,123,Endurance
75,Bench Press,Chest,Intermediate,Flexibility,None,56,165,1,5,141,Maintenance
76,Push-Ups,Chest,Beginner,HIIT,Machine,78,949,2,22,117,Muscle Gain
77,Bench Press,Chest,Intermediate,Endurance,Barbell,52,373,6,9,81,Maintenance
78,Burpees,Full Body,Advanced,Flexibility,Dumbbells,74,487,6,10,179,Endurance
79,Crunches,Core,Intermediate,Cardio,Barbell,89,789,4,6,97,Endurance
80,Cycling,Cardio,Advanced,Flexibility,Resistance Band,64,320,6,13,160,Weight Loss
81,Push-Ups,Chest,Beginner,Strength,Machine,76,903,3,19,90,Maintenance
82,Leg Press,Legs,Beginner,Cardio,Machine,12,860,6,7,163,Endurance
83,Jump Rope,Cardio,Intermediate,HIIT,Barbell,35,222,5,10,110,Weight Loss
84,Crunches,Core,Beginner,Flexibility,Machine,10,897,2,25,52,Endurance
85,Pull-Ups,Back,Intermediate,Strength,None,89,274,4,6,69,Weight Loss
86,Shoulder Press,Shoulders,Advanced,Endurance,Machine,25,826,3,7,147,Endurance
87,Lunges,Legs,Beginner,Flexibility,Barbell,76,612,1,9,57,Maintenance
88,Walking,Cardio,Beginner,Strength,None,51,844,3,24,64,Weight Loss
89,Crunches,Core,Advanced,Endurance,Resistance Band,18,505,2,11,114,Muscle Gain
90,Bicep Curls,Biceps,Beginner,Cardio,Dumbbells,63,885,4,23,144,Maintenance
91,Shoulder Press,Shoulders,Intermediate,Strength,Barbell,88,949,4,17,73,Muscle Gain
92,Shoulder Press,Shoulders,Beginner,Endurance,Barbell,26,682,1,23,75,Maintenance
93,Running,Cardio,Intermediate,Cardio,None,37,934,6,16,174,Endurance
94,Lunges,Legs,Advanced,Cardio,Resistance Band,27,950,4,10,165,Weight Loss
95,Push-Ups,Chest,Beginner,Cardio,Barbell,77,237,1,6,69,Muscle Gain
96,Deadlift,Full Body,Advanced,Strength,Machine,83,895,3,15,31,Weight Loss
97,Squats,Legs,Advanced,Strength,Dumbbells,58,175,3,12,172,Muscle Gain
98,Shoulder Press,Shoulders,Beginner,Cardio,Resistance Band,79,327,3,12,61,Weight Loss
99,Swimming,Cardio,Advanced,Strength,None,69,376,4,22,102,Weight Loss
100,Squats,Legs,Beginner,Flexibility,Machine,66,891,3,15,52,Endurance
101,Lat Pulldown,Back,Beginner,HIIT,Resistance Band,57,562,5,22,105,Muscle Gain
102,Lat Pulldown,Back,Beginner,Strength,Machine,56,262,6,18,120,Maintenance
103,Plank,Core,Beginner,Strength,Dumbbells,10,437,6,12,56,Maintenance
104,Burpees,Full Body,Advanced,Endurance,Barbell,57,662,5,24,118,Endurance
105,Burpees,Full Body,Intermediate,HIIT,Resistance Band,10,537,6,22,163,Weight Loss
106,Lunges,Legs,Advanced,HIIT,Barbell,46,861,5,25,57,Maintenance
107,Lateral Raises,Shoulders,Beginner,Strength,Barbell,23,620,5,5,180,Endurance
108,Burpees,Full Body,Beginner,Endurance,Dumbbells,68,759,1,18,115,Weight Loss
109,Cycling,Cardio,Intermediate,Endurance,Machine,59,520,5,20,169,Muscle Gain
110,Lat Pulldown,Back,Intermediate,Endurance,Barbell,22,887,6,21,145,Weight Loss
111,Squats,Legs,Beginner,Flexibility,Dumbbells,33,909,3,21,74,Muscle Gain
112,Lateral Raises,Shoulders,Intermediate,Flexibility,Machine,21,987,6,23,91,Muscle Gain
113,Walking,Cardio,Beginner,Strength,Barbell,42,805,1,22,53,Endurance
114,Running,Cardio,Intermediate,Strength,Dumbbells,89,345,2,14,65,Weight Loss
115,Jump Rope,Cardio,Advanced,Flexibility,Resistance Band,63,217,3,12,173,Weight Loss
116,Squats,Legs,Advanced,Cardio,Machine,34,801,5,19,164,Endurance
117,Squats,Legs,Advanced,HIIT,Dumbbells,49,165,4,16,114,Weight Loss
118,Tricep Pushdown,Triceps,Beginner,Cardio,Resistance Band,40,153,5,18,83,Muscle Gain
119,Burpees,Full Body,Intermediate,Endurance,None,31,505,6,19,45,Weight Loss
120,Lat Pulldown,Back,Advanced,Cardio,Resistance Band,78,460,1,20,71,Endurance
121,Plank,Core,Beginner,Endurance,None,43,909,5,22,36,Weight Loss
122,Tricep Pushdown,Triceps,Advanced,Strength,None,34,401,2,22,163,Maintenance
123,Pull-Ups,Back,Intermediate,HIIT,None,17,780,1,5,36,Endurance
124,Running,Cardio,Intermediate,HIIT,Barbell,23,838,4,16,80,Maintenance
125,Swimming,Cardio,Advanced,Strength,Dumbbells,28,165,5,5,161,Maintenance
126,Push-Ups,Chest,Beginner,HIIT,Dumbbells,34,265,1,7,126,Muscle Gain
127,Squats,Legs,Advanced,Flexibility,Dumbbells,79,486,3,18,152,Muscle Gain
128,Squats,Legs,Intermediate,Flexibility,Machine,49,851,6,17,130,Weight Loss
129,Bicep Curls,Biceps,Intermediate,Strength,None,72,591,5,23,44,Weight Loss
130,Bicep Curls,Biceps,Beginner,Endurance,Machine,16,497,2,21,43,Weight Loss
131,Squats,Legs,Intermediate,Cardio,Resistance Band,29,650,1,15,47,Maintenance
132,Crunches,Core,Intermediate,Flexibility,Machine,45,919,5,23,170,Endurance
133,Push-Ups,Chest,Beginner,Cardio,Dumbbells,83,478,5,9,80,Maintenance
134,Swimming,Cardio,Beginner,Strength,Resistance Band,59,566,6,9,53,Maintenance
135,Jump Rope,Cardio,Advanced,HIIT,Resistance Band,29,427,1,24,60,Endurance
136,Crunches,Core,Advanced,Flexibility,Dumbbells,15,268,4,10,132,Maintenance
137,Running,Cardio,Beginner,Endurance,None,36,236,2,9,97,Maintenance
138,Running,Cardio,Intermediate,Flexibility,Resistance Band,67,341,4,25,169,Weight Loss
139,Shoulder Press,Shoulders,Intermediate,Flexibility,Dumbbells,68,791,1,13,63,Weight Loss
140,Burpees,Full Body,Intermediate,Flexibility,None,42,833,1,8,84,Muscle Gain
141,Tricep Pushdown,Triceps,Intermediate,HIIT,Resistance Band,72,567,5,13,31,Muscle Gain
142,Pull-Ups,Back,Intermediate,Flexibility,Resistance Band,78,422,3,21,164,Weight Loss
143,Tricep Pushdown,Triceps,Intermediate,Flexibility,Dumbbells,64,781,1,25,167,Muscle Gain
144,Shoulder Press,Shoulders,Beginner,Flexibility,Resistance Band,86,901,2,10,111,Weight Loss
145,Deadlift,Full Body,Advanced,Cardio,Machine,64,198,6,11,88,Endurance
146,Running,Cardio,Beginner,Endurance,None,18,288,4,6,92,Endurance
147,Lat Pulldown,Back,Intermediate,Flexibility,Resistance Band,56,788,4,5,142,Endurance
148,Burpees,Full Body,Intermediate,Cardio,None,49,855,2,5,122,Weight Loss
149,Pull-Ups,Back,Advanced,HIIT,Resistance Band,10,810,4,15,73,Weight Loss
150,Cycling,Cardio,Advanced,Strength,Resistance Band,73,623,2,15,126,Maintenance
151,Lunges,Legs,Beginner,Cardio,Machine,41,192,1,7,120,Endurance
152,Push-Ups,Chest,Intermediate,Strength,Resistance Band,61,827,3,22,178,Muscle Gain
153,Deadlift,Full Body,Intermediate,Strength,Resistance Band,53,179,2,18,59,Endurance
154,Plank,Core,Advanced,Cardio,None,11,476,4,8,83,Muscle Gain
155,Squats,Legs,Advanced,HIIT,None,35,930,5,20,114,Endurance
156,Tricep Pushdown,Triceps,Beginner,Cardio,Resistance Band,53,509,3,13,47,Weight Loss
157,Burpees,Full Body,Advanced,Endurance,Barbell,14,409,1,20,113,Muscle Gain
158,Running,Cardio,Intermediate,HIIT,None,14,411,5,11,90,Endurance
159,Shoulder Press,Shoulders,Beginner,Endurance,Barbell,57,764,4,24,42,Muscle Gain
160,Walking,Cardio,Beginner,Flexibility,Barbell,49,282,3,8,173,Maintenance
161,Crunches,Core,Beginner,Flexibility,Resistance Band,40,631,4,9,178,Weight Loss
162,Push-Ups,Chest,Beginner,Strength,None,88,734,2,22,158,Endurance
163,Crunches,Core,Beginner,Cardio,None,74,645,1,11,150,Maintenance
164,Walking,Cardio,Intermediate,HIIT,Barbell,87,924,3,10,139,Maintenance
165,Deadlift,Full Body,Intermediate,HIIT,None,52,721,4,18,63,Maintenance
166,Burpees,Full Body,Intermediate,Cardio,Barbell,65,498,2,10,124,Maintenance
167,Tricep Pushdown,Triceps,Advanced,Flexibility,Barbell,70,608,2,7,46,Weight Loss
168,Lat Pulldown,Back,Advanced,Endurance,Resistance Band,28,425,2,7,119,Endurance
169,Lat Pulldown,Back,Advanced,Cardio,Resistance Band,38,324,1,23,151,Endurance
170,Tricep Pushdown,Triceps,Intermediate,HIIT,None,46,301,1,13,160,Muscle Gain
171,Running,Cardio,Advanced,Endurance,Dumbbells,62,795,4,8,58,Maintenance
172,Deadlift,Full Body,Intermediate,Flexibility,Resistance Band,12,965,1,15,61,Muscle Gain
173,Running,Cardio,Advanced,Strength,Barbell,80,544,5,15,131,Muscle Gain
174,Leg Press,Legs,Intermediate,Endurance,Machine,44,862,6,23,136,Muscle Gain
175,Leg Press,Legs,Beginner,Cardio,Machine,55,780,2,11,107,Endurance
176,Walking,Cardio,Intermediate,Endurance,Machine,55,812,3,25,49,Weight Loss
177,Deadlift,Full Body,Intermediate,Cardio,Machine,23,203,3,8,49,Muscle Gain
178,Shoulder Press,Shoulders,Intermediate,Endurance,None,44,843,4,10,57,Maintenance
179,Push-Ups,Chest,Beginner,Cardio,Dumbbells,18,863,6,7,38,Maintenance
180,Bench Press,Chest,Beginner,Strength,None,22,444,5,12,93,Endurance
181,Plank,Core,Intermediate,Endurance,None,13,654,4,8,87,Maintenance
182,Lunges,Legs,Intermediate,Strength,Barbell,49,167,6,23,174,Endurance
183,Swimming,Cardio,Advanced,Endurance,Barbell,74,289,4,18,149,Weight Loss
184,Leg Press,Legs,Advanced,Strength,Machine,21,477,2,21,38,Maintenance
185,Lateral Raises,Shoulders,Intermediate,Endurance,Barbell,55,808,1,22,91,Muscle Gain
186,Swimming,Cardio,Intermediate,Endurance,Machine,24,395,4,10,141,Weight Loss
187,Leg Press,Legs,Intermediate,Strength,Machine,71,388,3,15,52,Maintenance
188,Bench Press,Chest,Intermediate,Endurance,Resistance Band,72,933,4,13,77,Muscle Gain
189,Shoulder Press,Shoulders,Intermediate,Cardio,Resistance Band,44,153,6,18,115,Maintenance
190,Crunches,Core,Intermediate,Strength,Barbell,27,664,5,16,141,Weight Loss
191,Bicep Curls,Biceps,Intermediate,HIIT,Machine,13,363,3,14,70,Weight Loss
192,Lateral Raises,Shoulders,Beginner,Endurance,Resistance Band,23,665,6,13,71,Weight Loss
193,Plank,Core,Beginner,Flexibility,Resistance Band,26,560,4,21,179,Endurance
194,Crunches,Core,Beginner,HIIT,None,61,395,4,24,158,Weight Loss
195,Jump Rope,Cardio,Advanced,HIIT,Barbell,85,758,4,23,94,Endurance
196,Squats,Legs,Beginner,HIIT,None,33,710,2,22,101,Weight Loss
197,Cycling,Cardio,Intermediate,Endurance,Resistance Band,24,314,3,25,51,Endurance
198,Plank,Core,Beginner,Strength,Resistance Band,81,479,1,9,139,Muscle Gain
199,Plank,Core,Advanced,Flexibility,Machine,57,965,2,24,127,Maintenance
200,Jump Rope,Cardio,Advanced,Endurance,Barbell,38,315,1,19,52,Endurance
201,Leg Press,Legs,Advanced,Cardio,Resistance Band,38,397,6,7,114,Muscle Gain
202,Shoulder Press,Shoulders,Intermediate,Endurance,Barbell,85,858,5,16,77,Weight Loss
203,Bicep Curls,Biceps,Beginner,Cardio,Dumbbells,57,239,1,12,88,Muscle Gain
204,Walking,Cardio,Beginner,HIIT,Machine,88,386,6,23,156,Endurance
205,Lunges,Legs,Intermediate,Endurance,Barbell,67,370,4,12,39,Endurance
206,Leg Press,Legs,Beginner,HIIT,Resistance Band,37,538,5,20,105,Maintenance
207,Lat Pulldown,Back,Intermediate,Strength,Dumbbells,45,965,3,17,62,Endurance
208,Cycling,Cardio,Beginner,Strength,Barbell,29,519,6,20,84,Maintenance
209,Shoulder Press,Shoulders,Intermediate,Endurance,Dumbbells,61,754,1,24,128,Weight Loss
210,Push-Ups,Chest,Intermediate,Flexibility,Resistance Band,67,869,6,16,94,Endurance
211,Squats,Legs,Intermediate,HIIT,None,58,566,2,5,146,Weight Loss
212,Tricep Pushdown,Triceps,Intermediate,Endurance,Dumbbells,85,264,5,16,176,Weight Loss
213,Lateral Raises,Shoulders,Intermediate,Cardio,None,47,650,5,21,164,Maintenance
214,Pull-Ups,Back,Advanced,Endurance,Machine,14,866,6,14,163,Endurance
215,Shoulder Press,Shoulders,Advanced,Flexibility,Barbell,42,577,3,10,92,Weight Loss
216,Crunches,Core,Intermediate,Flexibility,None,60,886,3,19,176,Maintenance
217,Bench Press,Chest,Beginner,Cardio,None,53,831,3,15,109,Endurance
218,Swimming,Cardio,Beginner,Endurance,None,34,697,3,20,62,Weight Loss
219,Shoulder Press,Shoulders,Advanced,Endurance,None,44,570,3,9,50,Endurance
220,Deadlift,Full Body,Beginner,HIIT,Dumbbells,20,190,5,6,145,Endurance
221,Plank,Core,Beginner,HIIT,Barbell,77,389,1,23,111,Endurance
222,Walking,Cardio,Beginner,Flexibility,None,35,434,4,22,62,Endurance
223,Push-Ups,Chest,Beginner,Flexibility,Machine,45,525,6,12,153,Muscle Gain
224,Crunches,Core,Beginner,Strength,Resistance Band,84,796,5,19,147,Maintenance
225,Crunches,Core,Advanced,Cardio,Dumbbells,67,354,1,13,42,Endurance
226,Plank,Core,Advanced,Strength,None,11,740,6,16,98,Muscle Gain
227,Crunches,Core,Beginner,Flexibility,Resistance Band,30,928,5,19,64,Weight Loss
228,Bench Press,Chest,Advanced,Strength,Resistance Band,45,461,3,6,147,Muscle Gain
229,Leg Press,Legs,Advanced,Cardio,Resistance Band,34,965,2,9,170,Maintenance
230,Running,Cardio,Advanced,Cardio,Barbell,60,525,4,23,108,Endurance
231,Plank,Core,Advanced,Strength,Dumbbells,75,180,2,18,44,Weight Loss
232,Cycling,Cardio,Advanced,Endurance,None,41,512,4,11,136,Weight Loss
233,Jump Rope,Cardio,Intermediate,Flexibility,Machine,50,288,3,7,150,Weight Loss
234,Plank,Core,Advanced,Endurance,None,79,691,5,9,92,Endurance
235,Tricep Pushdown,Triceps,Advanced,Strength,Barbell,67,472,3,11,30,Endurance
236,Tricep Pushdown,Triceps,Advanced,HIIT,None,55,972,1,15,135,Muscle Gain
237,Squats,Legs,Intermediate,Strength,Dumbbells,35,505,5,22,95,Endurance
238,Cycling,Cardio,Intermediate,Strength,Barbell,65,672,4,18,95,Weight Loss
239,Lat Pulldown,Back,Beginner,Strength,Barbell,61,896,3,23,144,Weight Loss
240,Bicep Curls,Biceps,Intermediate,HIIT,None,82,599,2,15,122,Weight Loss
241,Pull-Ups,Back,Beginner,Endurance,None,47,318,5,11,96,Muscle Gain
242,Burpees,Full Body,Intermediate,Strength,Machine,57,644,3,7,68,Muscle Gain
243,Cycling,Cardio,Beginner,Endurance,Barbell,53,597,2,24,111,Muscle Gain
244,Tricep Pushdown,Triceps,Intermediate,Strength,Barbell,44,895,2,8,34,Endurance
245,Squats,Legs,Intermediate,Cardio,Dumbbells,49,854,3,14,137,Weight Loss
246,Bench Press,Chest,Intermediate,Endurance,None,57,597,5,22,44,Maintenance
247,Leg Press,Legs,Beginner,Flexibility,Machine,51,284,3,25,160,Endurance
248,Plank,Core,Advanced,Flexibility,Machine,63,353,4,18,74,Weight Loss
249,Tricep Pushdown,Triceps,Beginner,Cardio,Machine,28,737,3,25,30,Maintenance
250,Walking,Cardio,Advanced,Endurance,Resistance Band,40,709,1,5,103,Maintenance
251,Running,Cardio,Advanced,Cardio,Barbell,19,747,4,18,109,Muscle Gain
252,Lat Pulldown,Back,Beginner,Endurance,Machine,89,574,1,25,171,Muscle Gain
253,Walking,Cardio,Beginner,Endurance,Barbell,30,374,1,17,39,Weight Loss
254,Cycling,Cardio,Beginner,HIIT,Barbell,32,200,6,12,121,Weight Loss
255,Deadlift,Full Body,Intermediate,Endurance,Barbell,20,274,6,16,124,Muscle Gain
256,Walking,Cardio,Beginner,Cardio,None,45,939,3,9,57,Endurance
257,Lunges,Legs,Advanced,HIIT,None,36,341,3,6,34,Muscle Gain
258,Tricep Pushdown,Triceps,Advanced,Cardio,Barbell,68,303,5,18,85,Weight Loss
259,Leg Press,Legs,Advanced,Strength,Dumbbells,10,299,5,8,122,Endurance
260,Burpees,Full Body,Beginner,Strength,None,86,578,5,18,85,Maintenance
261,Swimming,Cardio,Beginner,Endurance,Resistance Band,49,203,2,16,71,Endurance
262,Crunches,Core,Advanced,Cardio,Resistance Band,66,319,1,12,39,Maintenance
263,Tricep Pushdown,Triceps,Advanced,HIIT,None,89,926,3,6,43,Maintenance
264,Jump Rope,Cardio,Intermediate,Flexibility,None,37,433,3,22,85,Weight Loss
265,Crunches,Core,Beginner,Endurance,Barbell,43,865,1,17,35,Endurance
266,Bicep Curls,Biceps,Advanced,Cardio,Barbell,17,217,6,18,79,Weight Loss
267,Crunches,Core,Beginner,Cardio,Machine,20,531,6,8,126,Weight Loss
268,Swimming,Cardio,Beginner,Strength,None,55,445,2,5,155,Weight Loss
269,Push-Ups,Chest,Advanced,Strength,Machine,37,562,4,20,35,Weight Loss
270,Swimming,Cardio,Beginner,Cardio,None,48,161,1,25,130,Endurance
271,Shoulder Press,Shoulders,Intermediate,Strength,Machine,84,260,2,18,178,Endurance
272,Crunches,Core,Advanced,Flexibility,Barbell,35,894,6,7,86,Weight Loss
273,Cycling,Cardio,Advanced,Strength,Dumbbells,27,888,6,20,91,Endurance
274,Plank,Core,Advanced,Flexibility,Dumbbells,37,425,6,23,170,Endurance
275,Pull-Ups,Back,Advanced,Cardio,Machine,86,644,5,9,155,Maintenance
276,Bicep Curls,Biceps,Beginner,HIIT,Dumbbells,36,676,3,23,128,Maintenance
277,Pull-Ups,Back,Advanced,Flexibility,None,18,156,6,7,117,Weight Loss
278,Plank,Core,Advanced,Strength,Machine,34,164,3,6,168,Maintenance
279,Pull-Ups,Back,Advanced,Strength,Barbell,22,345,4,25,138,Weight Loss
280,Pull-Ups,Back,Advanced,Endurance,Resistance Band,16,419,2,7,75,Muscle Gain
281,Lat Pulldown,Back,Advanced,Flexibility,Dumbbells,51,223,4,17,166,Maintenance
282,Tricep Pushdown,Triceps,Advanced,Cardio,None,70,166,1,19,94,Muscle Gain
283,Jump Rope,Cardio,Intermediate,Endurance,Barbell,49,478,3,10,73,Endurance
284,Crunches,Core,Advanced,Strength,Dumbbells,30,903,6,14,116,Weight Loss
285,Leg Press,Legs,Beginner,Strength,Barbell,23,858,3,22,151,Endurance
286,Deadlift,Full Body,Advanced,Strength,Barbell,39,341,6,5,89,Muscle Gain
287,Leg Press,Legs,Advanced,Flexibility,Resistance Band,88,247,4,11,169,Endurance
288,Burpees,Full Body,Advanced,Strength,Machine,22,688,2,16,156,Muscle Gain
289,Shoulder Press,Shoulders,Intermediate,Cardio,Machine,34,619,3,14,163,Endurance
290,Push-Ups,Chest,Beginner,Cardio,None,25,678,6,17,116,Weight Loss
291,Swimming,Cardio,Advanced,Cardio,Machine,45,893,6,16,59,Muscle Gain
292,Plank,Core,Advanced,Flexibility,Dumbbells,80,718,5,17,102,Maintenance
293,Lat Pulldown,Back,Intermediate,Endurance,Resistance Band,37,216,3,20,153,Muscle Gain
294,Bench Press,Chest,Intermediate,Cardio,Resistance Band,44,209,1,24,109,Endurance
295,Deadlift,Full Body,Intermediate,Cardio,Barbell,19,575,1,23,172,Muscle Gain
296,Squats,Legs,Advanced,Endurance,Machine,33,559,4,6,52,Muscle Gain
297,Shoulder Press,Shoulders,Beginner,Cardio,Resistance Band,17,818,6,17,122,Endurance
298,Running,Cardio,Beginner,Flexibility,Barbell,58,441,1,22,168,Maintenance
299,Push-Ups,Chest,Beginner,Strength,Machine,32,955,2,22,39,Weight Loss
300,Cycling,Cardio,Advanced,HIIT,Machine,11,200,5,8,138,Maintenance
301,Walking,Cardio,Advanced,Cardio,Dumbbells,81,874,1,9,134,Endurance
302,Lateral Raises,Shoulders,Advanced,Strength,Barbell,33,329,3,11,135,Muscle Gain
303,Push-Ups,Chest,Intermediate,HIIT,Dumbbells,86,952,1,8,103,Weight Loss
304,Pull-Ups,Back,Intermediate,Cardio,Machine,24,514,6,22,106,Muscle Gain
305,Leg Press,Legs,Advanced,HIIT,None,61,407,4,20,149,Muscle Gain
306,Squats,Legs,Beginner,Cardio,Dumbbells,90,922,1,14,168,Weight Loss
307,Running,Cardio,Intermediate,Flexibility,Barbell,43,341,4,20,140,Muscle Gain
308,Push-Ups,Chest,Intermediate,Endurance,Machine,72,762,1,10,106,Muscle Gain
309,Squats,Legs,Advanced,Strength,Barbell,21,933,5,19,84,Muscle Gain
310,Leg Press,Legs,Beginner,Cardio,Dumbbells,55,159,4,5,161,Maintenance
311,Bench Press,Chest,Beginner,Endurance,Barbell,38,321,5,10,97,Weight Loss
312,Bench Press,Chest,Advanced,Cardio,Machine,11,506,3,18,39,Muscle Gain
