Food_ID,Food_Name,Category,Serving_Size_g,Calories,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugar_g,Sodium_mg,Meal_Type,Diet_Type
169,Almonds,Healthy Fat,289,110,55.5,40.2,37.8,9.7,6.4,315,Dinner,Maintenance
170,Orange,Fruit,133,670,26.1,46.1,14.2,18.5,31.0,354,Lunch,Muscle Gain
171,Broccoli,Vegetable,436,493,51.9,18.3,14.2,3.5,16.5,78,Breakfast,Weight Loss
172,Apple,Fruit,270,598,48.6,53.7,26.2,15.7,31.0,90,Snack,Weight Loss
173,Brown Rice,Carbohydrate,481,155,57.5,81.2,36.5,14.4,22.8,423,Breakfast,Maintenance
174,Greek Yogurt,Protein,394,282,19.7,43.5,27.8,13.5,19.1,1064,Snack,Weight Loss
175,Spinach,Vegetable,475,779,14.6,59.8,32.5,10.8,32.2,420,Dinner,Weight Loss
176,Brown Rice,Carbohydrate,485,387,59.3,71.9,0.6,7.4,31.7,1058,Lunch,Weight Loss
177,Brown Rice,Carbohydrate,497,733,47.7,89.0,28.9,15.7,31.6,1141,Dinner,Muscle Gain
178,Brown Rice,Carbohydrate,128,120,37.3,23.2,25.4,19.7,26.7,1073,Lunch,Maintenance
179,Carrot,Vegetable,326,66,12.7,68.1,37.6,2.9,21.0,1015,Dinner,Weight Loss
180,Greek Yogurt,Protein,481,225,10.1,61.9,12.9,11.3,3.0,788,Snack,Weight Loss
181,Salmon,Protein,219,432,29.2,51.2,23.1,18.4,7.3,533,Dinner,Weight Loss
182,Tuna,Protein,336,222,11.1,21.3,8.9,4.0,21.5,1147,Snack,Maintenance
183,Broccoli,Vegetable,327,643,16.2,0.0,16.6,7.4,26.3,341,Lunch,Weight Loss
184,Orange,Fruit,127,152,38.9,11.3,5.8,9.5,42.9,822,Lunch,Muscle Gain
185,Olive Oil,Healthy Fat,198,83,1.0,87.6,34.0,6.2,49.1,452,Dinner,Weight Loss
186,Olive Oil,Healthy Fat,39,496,58.3,99.9,22.6,5.1,43.0,915,Breakfast,Weight Loss
187,Sweet Potato,Carbohydrate,320,503,10.2,94.5,39.6,0.0,41.5,143,Breakfast,Maintenance
188,Chicken Breast,Protein,341,787,50.6,90.1,30.9,8.4,1.5,32,Lunch,Weight Loss
189,Avocado,Healthy Fat,64,670,6.6,30.3,28.9,3.2,3.7,207,Dinner,Weight Loss
190,Cheese,Dairy,443,140,57.7,36.3,26.0,7.0,33.5,792,Dinner,Weight Loss
191,Olive Oil,Healthy Fat,371,497,58.7,11.5,25.8,6.1,11.6,1088,Breakfast,Maintenance
192,Salmon,Protein,266,593,5.7,27.2,25.4,8.3,12.5,101,Breakfast,Weight Loss
193,Almonds,Healthy Fat,378,112,37.6,50.2,16.7,10.7,26.4,255,Lunch,Weight Loss
194,Avocado,Healthy Fat,193,157,21.6,68.3,0.4,1.7,6.3,239,Dinner,Muscle Gain
195,Apple,Fruit,298,507,14.0,5.2,25.5,3.0,11.2,1186,Lunch,Weight Loss
196,Cheese,Dairy,252,682,59.6,7.1,0.9,5.5,5.8,644,Dinner,Weight Loss
197,Spinach,Vegetable,79,94,15.0,16.1,35.6,5.4,10.6,522,Lunch,Maintenance
198,Apple,Fruit,437,105,18.0,16.5,34.8,0.3,23.0,384,Snack,Maintenance
199,Tuna,Protein,230,40,1.7,46.9,39.2,6.9,38.0,64,Snack,Weight Loss
200,Peanut Butter,Healthy Fat,117,520,2.1,8.3,31.5,5.6,28.4,930,Breakfast,Muscle Gain
201,Oats,Carbohydrate,335,224,9.9,66.0,35.8,6.5,38.5,1161,Breakfast,Weight Loss
202,Milk,Dairy,476,320,3.7,26.8,11.1,7.4,30.0,285,Dinner,Weight Loss
203,Carrot,Vegetable,139,48,57.9,42.6,27.9,3.4,1.8,296,Breakfast,Muscle Gain
204,Avocado,Healthy Fat,59,192,2.0,65.1,22.3,1.5,34.4,628,Snack,Maintenance
205,Sweet Potato,Carbohydrate,377,295,12.2,48.1,23.5,15.1,27.6,664,Snack,Muscle Gain
206,Chicken Breast,Protein,42,597,20.2,31.1,21.4,6.6,23.6,1176,Dinner,Muscle Gain
207,Greek Yogurt,Protein,150,276,3.4,63.6,26.4,7.4,40.1,327,Lunch,Maintenance
208,Oats,Carbohydrate,198,729,3.3,35.2,29.2,4.0,14.7,1129,Breakfast,Maintenance
209,Orange,Fruit,246,285,53.5,17.8,1.2,9.6,42.8,1125,Lunch,Weight Loss
210,Oats,Carbohydrate,215,559,19.9,5.1,21.9,2.8,3.6,485,Dinner,Muscle Gain
211,Oats,Carbohydrate,56,92,8.4,60.3,15.5,7.0,24.4,913,Lunch,Weight Loss
212,Spinach,Vegetable,119,723,6.5,2.1,36.1,7.6,4.3,239,Dinner,Maintenance
213,Milk,Dairy,317,129,46.4,39.6,28.5,4.0,40.4,417,Lunch,Muscle Gain
214,Carrot,Vegetable,127,99,8.0,16.3,22.1,17.2,12.5,596,Snack,Muscle Gain
215,Spinach,Vegetable,156,735,56.3,71.8,18.4,19.8,47.7,503,Lunch,Maintenance
216,Salmon,Protein,460,178,43.7,77.3,5.0,6.9,25.5,652,Lunch,Maintenance
217,Oats,Carbohydrate,187,372,54.5,74.1,10.1,8.8,36.5,1190,Breakfast,Maintenance
218,Chicken Breast,Protein,270,339,32.5,80.5,5.6,5.7,25.3,939,Dinner,Muscle Gain
219,Almonds,Healthy Fat,339,718,40.1,76.4,16.6,6.1,30.5,286,Lunch,Muscle Gain
220,Milk,Dairy,165,424,41.9,2.6,39.2,2.1,3.3,1042,Snack,Muscle Gain
221,Milk,Dairy,439,338,34.1,12.8,34.4,1.6,9.4,796,Lunch,Maintenance
222,Sweet Potato,Carbohydrate,462,365,29.3,86.2,24.0,19.4,22.5,300,Dinner,Weight Loss
223,Brown Rice,Carbohydrate,395,542,0.8,10.1,4.8,4.6,18.8,264,Breakfast,Maintenance
224,Apple,Fruit,490,96,31.5,87.5,39.3,19.6,18.9,987,Lunch,Weight Loss
225,Orange,Fruit,313,635,48.1,33.2,23.4,12.5,22.2,55,Breakfast,Maintenance
226,Avocado,Healthy Fat,426,357,52.4,96.2,23.0,1.9,22.3,593,Snack,Maintenance
227,Tuna,Protein,115,789,40.6,35.1,39.8,6.3,10.7,214,Lunch,Muscle Gain
228,Apple,Fruit,434,275,46.0,2.5,37.2,6.0,28.1,774,Breakfast,Muscle Gain
229,Oats,Carbohydrate,40,475,33.6,36.2,16.0,10.7,42.2,277,Dinner,Muscle Gain
230,Greek Yogurt,Protein,358,193,44.3,28.4,9.5,5.9,43.1,397,Dinner,Muscle Gain
231,Banana,Fruit,183,478,5.6,25.3,13.5,3.2,13.1,1154,Dinner,Muscle Gain
232,Greek Yogurt,Protein,187,52,3.3,41.6,22.0,13.8,16.6,1044,Lunch,Maintenance
233,Greek Yogurt,Protein,62,369,47.5,63.3,1.3,4.4,11.4,260,Lunch,Maintenance
234,Sweet Potato,Carbohydrate,263,100,11.1,77.5,16.0,0.6,9.3,494,Dinner,Maintenance
235,Tuna,Protein,346,170,3.2,93.6,32.0,14.5,15.1,535,Snack,Muscle Gain
236,Tuna,Protein,135,714,12.5,26.1,35.6,15.0,24.2,699,Lunch,Maintenance
237,Sweet Potato,Carbohydrate,466,507,18.5,93.2,16.5,7.5,6.0,914,Snack,Maintenance
238,Avocado,Healthy Fat,406,781,7.6,76.7,6.2,7.1,29.7,701,Dinner,Muscle Gain
239,Egg,Protein,83,782,1.8,5.2,6.2,12.7,34.5,1053,Lunch,Weight Loss
240,Chicken Breast,Protein,60,343,8.8,55.4,37.6,15.3,40.7,191,Snack,Maintenance
241,Cheese,Dairy,177,544,30.3,81.8,21.3,19.5,8.4,1032,Lunch,Maintenance
242,Egg,Protein,470,765,52.7,2.4,23.7,18.0,33.7,279,Dinner,Maintenance
243,Oats,Carbohydrate,42,398,57.9,26.9,34.8,16.2,0.6,298,Snack,Maintenance
244,Apple,Fruit,258,208,51.8,42.3,20.2,8.8,16.7,8,Breakfast,Muscle Gain
245,Oats,Carbohydrate,208,218,42.8,81.8,4.9,7.2,2.7,1063,Snack,Muscle Gain
246,Sweet Potato,Carbohydrate,94,372,58.9,97.7,1.3,11.5,0.8,348,Snack,Weight Loss
247,Egg,Protein,383,659,30.7,79.0,14.2,5.5,32.7,253,Snack,Maintenance
248,Tuna,Protein,392,359,43.0,57.2,16.9,0.3,42.2,503,Dinner,Maintenance
249,Egg,Protein,87,575,45.0,44.9,28.8,8.6,35.6,783,Snack,Weight Loss
250,Sweet Potato,Carbohydrate,176,660,18.5,5.7,26.6,7.9,43.2,715,Dinner,Muscle Gain
251,Egg,Protein,400,183,54.3,93.6,39.7,19.8,3.0,110,Breakfast,Maintenance
252,Greek Yogurt,Protein,324,266,41.9,76.4,9.6,15.5,32.4,987,Lunch,Weight Loss
253,Spinach,Vegetable,225,769,55.1,68.2,10.7,9.6,23.7,139,Breakfast,Muscle Gain
254,Olive Oil,Healthy Fat,53,395,47.6,12.7,13.9,7.7,22.1,562,Lunch,Muscle Gain
255,Broccoli,Vegetable,224,405,48.7,5.5,1.2,12.1,4.9,232,Dinner,Weight Loss
256,Apple,Fruit,460,752,32.9,75.1,19.6,12.5,34.5,1127,Dinner,Weight Loss
257,Olive Oil,Healthy Fat,180,248,22.7,39.0,35.0,1.2,4.9,46,Lunch,Muscle Gain
258,Almonds,Healthy Fat,385,281,45.5,36.8,25.8,14.6,39.8,108,Snack,Muscle Gain
259,Greek Yogurt,Protein,209,606,5.9,33.6,34.3,15.3,30.4,989,Lunch,Muscle Gain
260,Spinach,Vegetable,370,788,10.6,58.2,12.4,9.3,32.9,1051,Snack,Muscle Gain
261,Banana,Fruit,222,474,56.1,23.4,10.4,9.2,28.7,165,Breakfast,Weight Loss
262,Sweet Potato,Carbohydrate,130,385,13.1,1.0,2.8,2.2,44.9,366,Breakfast,Maintenance
263,Peanut Butter,Healthy Fat,72,781,57.3,79.3,7.5,14.6,30.8,1030,Lunch,Muscle Gain
264,Egg,Protein,348,504,44.3,84.5,6.9,5.4,23.9,282,Snack,Maintenance
265,Avocado,Healthy Fat,109,766,47.9,23.9,21.1,1.1,39.4,491,Dinner,Weight Loss
266,Sweet Potato,Carbohydrate,79,394,2.5,48.7,37.3,2.4,9.5,501,Lunch,Muscle Gain
267,Apple,Fruit,343,463,2.6,52.4,24.5,12.6,39.7,635,Lunch,Maintenance
