Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
Male,38,188.9,125.6,14,76,37.7,145.3
Female,20,176.9,76.4,135,70,37.6,743.7
Male,53,186.1,98.5,96,93,39.6,850.8
Male,59,184.8,124.7,140,69,36.5,1177.2
Female,30,173.5,75.0,88,112,37.0,740.7
Male,57,162.8,116.6,117,142,39.8,1958.0
Female,42,182.7,50.7,117,141,39.3,849.0
Male,29,154.4,67.0,60,146,36.3,561.0
Male,61,194.2,108.4,11,175,36.5,213.5
Female,41,169.0,103.1,144,148,39.1,2222.5
Male,35,193.0,121.6,140,62,36.3,1075.9
Female,49,168.0,87.9,58,142,39.9,741.3
Male,37,172.2,117.7,97,180,36.3,2056.8
Male,48,171.8,45.4,101,85,36.1,360.3
Female,31,160.3,47.2,57,155,38.0,430.3
Female,23,175.8,68.2,78,123,36.8,666.5
Male,45,193.7,94.1,124,106,39.3,1207.5
Female,43,188.6,62.2,142,78,39.9,717.8
Male,28,188.3,109.5,130,96,38.3,1359.9
Female,24,171.8,54.2,27,99,39.8,140.4
Female,24,166.8,61.8,21,141,39.4,207.0
Male,53,193.5,72.4,19,136,36.1,184.2
Female,44,185.7,113.2,179,133,38.5,2673.1
Female,24,189.6,99.9,101,65,39.0,677.1
Female,28,154.9,122.5,126,183,37.4,2807.7
Female,22,184.2,107.5,100,164,36.1,1775.3
Female,53,152.0,88.2,178,157,37.4,2466.2
Female,32,182.9,94.6,120,133,37.4,1498.9
Male,33,190.3,107.3,82,183,36.5,1627.5
Female,29,176.0,93.6,56,89,39.7,479.4
Male,34,174.6,64.4,68,173,37.2,736.3
Male,44,169.0,122.8,103,131,36.7,1635.5
Male,34,191.6,78.1,79,164,37.4,1015.4
Female,57,166.1,75.1,58,93,38.4,434.0
Female,45,172.6,73.1,91,143,38.3,922.2
Female,34,186.9,48.2,156,106,38.9,823.2
Male,60,173.1,126.5,52,159,36.8,1055.0
Male,35,153.1,118.7,56,86,37.2,568.8
Female,38,182.8,74.2,12,88,36.0,56.6
Male,19,192.8,115.1,118,165,38.5,2228.9
Female,60,177.3,100.4,65,65,37.6,442.9
Female,44,165.2,114.4,157,102,36.7,1846.2
Female,45,162.3,104.8,80,89,36.3,741.0
Female,51,192.7,72.5,29,93,36.1,217.2
Female,54,172.0,55.4,43,139,38.5,311.6
Male,51,163.7,73.6,115,185,38.3,1551.0
Female,24,160.7,81.3,131,105,38.8,1118.9
Female,48,187.5,119.7,127,143,36.3,2184.3
Male,47,189.0,114.7,70,157,37.6,1257.7
Female,51,156.1,66.2,112,77,38.5,554.7
Male,20,175.5,105.4,27,185,37.1,520.5
Male,32,175.8,61.2,39,94,36.0,226.1
Female,54,191.6,111.7,144,77,39.9,1241.5
Male,41,193.2,82.9,12,146,37.4,163.1
Female,56,167.0,75.5,156,133,38.4,1545.7
Male,47,182.6,86.4,64,143,36.8,778.2
Male,57,194.7,128.1,164,163,38.6,3447.3
Male,40,194.5,78.2,43,73,36.2,271.9
Male,38,152.1,49.4,112,162,36.9,922.7
Female,58,174.4,106.5,176,190,36.9,3590.9
Male,18,152.5,74.6,145,79,36.8,830.8
Female,59,155.7,81.9,63,152,39.1,798.9
Male,26,163.9,121.9,10,84,36.8,93.1
Male,54,155.1,99.1,19,83,36.7,160.1
Female,59,164.8,128.8,50,118,38.5,733.3
Female,24,178.8,126.9,82,125,38.1,1320.6
Female,45,155.6,122.7,127,160,39.9,2491.1
Female,33,192.8,67.1,27,92,39.4,157.7
Female,48,187.5,127.0,52,159,38.2,1037.1
Female,33,171.6,50.5,135,183,39.2,1256.3
Female,57,182.6,54.1,168,142,39.0,1306.1
Female,61,174.4,49.2,29,89,38.2,140.4
Male,38,166.7,120.4,96,164,39.0,1897.4
Male,45,163.1,109.0,141,143,39.7,2176.9
Female,41,185.9,108.3,173,149,36.3,2794.6
Male,29,179.1,88.3,43,134,37.2,531.6
Male,25,150.6,56.6,91,79,39.1,381.3
Male,40,186.4,101.9,33,160,37.0,567.2
Female,39,166.9,118.5,131,140,38.6,2168.1
Female,64,186.9,53.1,28,162,38.4,227.0
Female,51,190.4,51.3,39,164,38.6,302.5
Female,39,168.9,116.5,125,172,36.2,2500.8
Male,44,154.4,69.8,136,162,38.7,1514.1
Female,50,168.5,51.3,114,103,38.0,591.9
Female,20,153.8,50.4,111,162,38.5,895.5
Male,32,186.1,101.9,88,116,37.5,1036.8
Male,50,188.6,110.8,151,85,38.4,1427.1
Male,34,154.6,105.4,33,154,39.9,555.6
Female,22,190.6,46.9,167,154,36.9,1231.7
Male,55,185.7,123.8,42,177,36.0,909.6
Male,47,154.1,54.4,14,165,39.8,99.9
Male,26,168.5,52.5,156,67,38.3,530.4
Male,65,183.9,118.6,123,145,36.6,2116.3
Male,43,157.8,129.2,28,79,38.8,306.2
Male,52,168.9,53.9,116,64,38.0,393.1
Male,38,163.4,73.4,85,181,36.2,1115.4
Male,24,177.0,119.6,91,105,37.4,1172.2
Female,19,164.7,92.6,75,121,39.2,840.4
Male,23,179.0,74.7,62,73,36.0,365.2
Male,64,164.3,85.7,93,141,38.6,1095.4
Female,34,162.1,57.5,78,112,36.5,497.7
Female,49,179.1,82.7,134,115,39.7,1275.1
Female,36,177.5,76.1,163,83,38.8,1003.3
Female,46,178.8,61.7,86,67,39.5,364.3
Male,33,177.4,76.0,10,61,37.3,20.3
Female,40,184.5,78.2,83,72,37.1,437.7
Male,35,176.0,102.0,113,183,38.6,2128.4
Male,34,151.1,56.6,42,77,39.5,177.2
Female,21,179.0,73.1,82,144,38.8,848.7
Male,59,168.0,64.6,164,175,37.4,1864.5
Male,41,155.5,122.6,149,86,36.7,1559.5
Female,38,187.2,110.0,49,178,38.3,984.7
Male,35,172.7,100.1,62,153,36.5,964.5
Male,56,158.3,129.0,114,60,38.1,902.1
Male,21,189.3,46.1,164,126,39.8,930.3
Male,33,155.0,88.7,22,69,37.6,140.9
Male,18,158.3,56.0,53,190,37.7,544.6
Female,35,174.4,51.2,41,65,39.1,164.4
Female,45,185.0,123.1,49,153,38.1,927.8
Male,31,190.4,114.0,108,133,36.2,1661.1
Female,42,170.5,50.9,159,156,39.2,1257.9
Female,41,158.7,119.1,26,77,36.5,225.5
Male,22,166.9,92.9,70,95,36.4,621.8
Male,59,157.6,106.5,114,72,37.0,846.2
Female,25,167.4,123.6,148,114,36.1,2097.8
Female,53,167.0,54.3,164,167,36.8,1479.0
Male,43,183.7,105.7,147,114,38.9,1767.0
Male,29,168.2,109.1,89,187,39.3,1841.7
Female,31,151.9,121.3,118,75,38.5,1088.9
Female,43,192.2,88.9,82,186,38.6,1327.3
Female,55,166.5,74.6,31,112,36.6,241.9
Female,31,176.9,48.4,87,118,37.4,513.9
Female,37,170.7,116.1,76,127,38.6,1097.3
Female,34,172.6,114.8,150,88,37.9,1522.3
Female,21,192.1,93.6,72,149,38.1,1026.6
Male,59,184.5,125.6,40,109,37.1,570.2
Male,40,191.6,125.0,109,93,36.5,1276.2
Male,37,162.6,62.3,35,139,37.1,277.4
Female,42,177.9,98.6,110,120,38.5,1310.4
Male,43,151.0,49.3,60,84,36.2,241.7
Male,47,156.8,46.1,95,180,37.6,811.8
Male,60,159.3,109.7,180,104,38.5,2061.1
Male,25,178.3,126.4,77,115,39.7,1104.3
Female,48,162.9,107.6,16,116,36.4,219.4
Male,28,179.5,128.5,113,103,37.6,1501.5
Male,49,191.0,98.1,13,157,36.9,178.5
Female,49,180.7,112.8,108,166,37.3,2024.9
Female,56,178.4,111.1,132,87,39.3,1282.4
Male,18,194.0,76.7,61,151,39.2,705.0
Male,33,190.1,68.3,138,69,39.5,669.8
Male,42,152.8,82.3,72,115,36.8,709.6
Male,48,156.8,111.9,114,77,39.7,1006.5
Male,59,188.0,75.1,65,126,38.6,609.3
Male,20,190.9,69.1,65,101,39.9,438.9
Male,28,185.3,81.9,166,153,39.5,2063.5
Female,60,176.9,67.3,151,184,37.2,1842.1
Female,18,162.2,86.6,42,112,36.0,429.2
Male,58,174.3,49.4,106,127,39.8,665.0
Female,48,191.1,127.5,141,64,38.4,1123.2
Female,37,170.7,82.8,18,71,40.0,88.8
Male,45,159.6,95.5,143,189,39.4,2587.0
Male,19,194.4,87.5,121,164,37.8,1764.4
Female,49,180.0,83.0,170,95,37.0,1334.9
Male,27,152.3,109.1,60,162,39.9,1045.3
Female,62,162.1,70.4,74,167,36.1,893.3
Female,29,154.4,74.4,46,106,38.9,360.2
Female,49,160.7,87.6,133,96,37.9,1105.1
Male,63,156.9,76.7,170,157,37.6,2039.9
Female,54,164.2,74.6,24,165,37.8,312.7
Male,65,160.9,53.5,46,179,39.7,423.5
Female,22,171.1,128.8,55,85,37.8,601.6
Female,21,181.9,105.7,30,143,36.9,450.2
Female,47,162.8,108.7,96,171,37.6,1767.4
Male,22,168.9,55.7,180,134,39.8,1348.6
Male,40,180.8,106.4,99,74,38.7,761.7
Female,27,167.2,61.4,16,118,37.7,143.1
Female,53,182.1,59.0,121,174,37.8,1240.6
Male,19,165.0,88.4,112,72,37.6,698.6
Male,18,173.5,63.8,167,138,39.5,1496.2
Female,63,150.3,92.1,79,74,39.4,526.7
Male,33,171.2,54.5,94,76,38.3,403.3
Female,32,189.3,64.9,64,91,39.8,407.6
Female,42,153.3,50.7,87,85,40.0,396.8
Female,47,156.1,105.0,112,150,37.7,1777.1
Male,31,187.8,81.6,161,126,37.8,1674.5
Male,27,191.0,49.9,167,154,36.4,1297.7
Male,63,171.3,114.7,172,162,36.7,3195.8
Female,35,183.0,92.3,135,138,39.2,1705.5
Male,29,150.8,50.1,100,105,36.5,503.9
Male,40,164.9,91.4,137,174,37.2,2160.5
Female,56,150.2,123.5,52,163,36.3,1028.1
Female,61,171.4,68.0,37,141,38.0,350.9
Female,49,175.2,116.7,120,85,36.5,1167.5
Female,41,175.4,57.9,28,184,37.0,324.3
Male,34,163.6,64.9,88,93,37.1,558.7
Female,54,166.9,71.6,44,89,38.7,267.3
Female,41,181.9,45.6,49,147,36.9,349.9
Female,30,151.6,51.5,63,125,38.4,418.5
Female,45,163.2,121.6,67,134,39.2,1113.7
Male,30,163.8,65.8,29,173,39.4,300.6
Male,31,180.6,64.7,31,67,37.6,144.2
Female,25,170.5,127.4,29,163,37.6,590.1
Female,50,173.3,94.1,160,174,37.9,2645.7
Female,42,192.0,75.5,60,78,38.9,359.8
Female,22,170.3,119.0,57,153,39.1,1064.4
Female,40,166.4,65.5,121,156,37.1,1253.1
Female,45,192.8,80.0,45,110,38.2,412.9
Male,43,190.7,109.5,146,100,38.2,1600.2
Female,37,189.6,104.9,112,93,37.3,1077.2
Male,43,191.8,50.4,88,120,37.3,516.8
Male,22,159.5,76.8,21,65,39.3,91.7
Female,26,194.9,117.7,180,166,38.1,3523.0
Female,52,156.6,110.7,137,116,36.7,1780.1
Male,25,174.1,62.5,14,68,37.8,55.0
Male,51,165.4,70.7,10,119,38.0,108.1
Male,51,177.5,71.3,45,98,38.1,318.3
Female,63,152.5,91.4,120,98,37.5,1076.4
Male,55,194.5,96.5,169,121,37.9,1996.2
Male,52,172.5,98.2,95,95,38.7,894.3
Female,46,175.7,52.4,61,141,39.2,444.6
Male,49,163.4,126.4,82,63,38.7,627.2
Female,33,163.4,63.0,167,109,36.9,1151.8
Male,28,160.9,50.3,164,128,38.0,1046.2
Female,47,159.9,95.7,77,75,38.1,558.6
Male,61,188.9,109.1,77,69,36.0,562.7
Male,20,182.3,111.2,93,136,37.2,1396.1
Male,20,185.3,68.1,129,110,37.8,958.4
Female,34,183.4,104.9,147,189,36.7,2908.1
Male,27,161.4,58.9,78,117,36.6,559.3
Female,57,160.5,58.6,149,100,37.0,869.6
Female,65,188.4,128.2,10,133,36.1,169.2
Male,55,192.8,122.0,29,114,36.1,396.6
Female,28,189.0,81.6,151,74,39.9,888.1
Male,44,165.7,94.6,174,181,37.5,2953.8
Male,64,165.8,87.1,26,184,38.3,406.8
Female,35,191.8,72.1,86,190,37.6,1207.1
Male,33,189.6,112.0,177,105,37.8,2077.4
Female,54,181.4,82.2,110,112,38.1,994.8
Female,58,176.4,86.4,129,176,37.9,1984.3
Female,50,172.6,90.8,69,137,36.1,882.5
Female,57,163.7,60.3,43,138,36.5,383.0
Female,47,182.1,49.9,135,166,37.0,1133.5
Female,38,152.4,118.2,29,107,38.7,380.9
Male,35,157.7,61.1,158,109,38.2,1039.7
Male,18,193.7,73.2,77,189,38.7,1062.1
Male,27,194.7,90.9,164,110,39.6,1637.3
Female,53,185.4,68.2,117,150,37.3,1206.4
Female,63,184.1,90.6,76,88,39.2,622.1
Male,26,159.5,76.7,176,78,38.5,1027.9
Female,23,187.9,118.8,66,141,38.9,1116.6
Male,60,164.9,119.4,113,148,37.8,1976.1
Male,19,157.4,56.9,35,93,38.3,208.0
Female,46,159.8,102.5,39,157,37.6,614.1
Male,21,164.7,107.5,170,84,39.9,1545.5
Male,29,159.6,49.5,160,84,38.5,642.1
Male,61,177.1,125.1,170,153,38.4,3257.8
Male,39,175.6,89.8,81,182,36.8,1339.3
Male,57,194.0,76.7,147,60,36.1,696.8
Male,41,181.0,66.2,127,99,37.3,812.3
Male,21,182.9,60.6,114,171,38.2,1165.0
Male,28,159.9,99.9,106,176,39.2,1858.8
Female,20,161.1,123.0,43,65,37.9,352.4
Male,21,163.9,55.2,61,179,38.9,593.7
Male,42,171.8,127.1,61,147,37.5,1111.4
Male,43,171.0,129.6,12,105,38.3,135.4
Female,46,155.7,121.1,162,134,38.8,2651.3
Male,26,163.4,45.1,126,64,39.3,379.1
Female,20,173.5,110.4,128,133,36.1,1863.0
Male,22,156.6,67.8,33,150,36.6,344.7
Female,48,150.4,113.6,50,122,38.2,663.3
Female,21,163.8,70.2,127,130,37.0,1181.6
Male,50,188.0,72.7,107,158,39.2,1258.5
Female,35,187.4,119.7,144,122,38.9,2130.4
Female,49,155.3,46.2,16,105,37.9,104.1
Female,19,191.7,109.4,103,158,39.4,1775.9
Male,51,172.9,109.4,130,87,37.0,1228.4
Male,36,170.3,81.5,118,151,39.6,1477.7
Male,38,159.9,84.3,163,185,38.8,2553.2
Male,53,153.4,52.6,74,153,36.3,614.8
Male,26,194.3,83.5,94,121,36.8,977.0
Male,39,153.7,90.8,11,168,38.9,154.7
Male,36,187.0,80.5,98,180,37.3,1404.6
Male,32,152.9,89.7,119,180,37.9,1917.1
Male,45,155.8,123.5,74,181,36.9,1652.3
Female,39,187.6,57.2,69,170,36.6,689.2
Female,48,180.7,84.9,41,156,38.5,524.2
Male,60,178.2,54.4,84,99,37.1,448.8
Female,41,192.6,88.2,88,117,39.2,905.1
Male,28,191.7,84.4,157,63,37.6,841.5
Female,48,191.3,88.0,39,76,37.1,274.1
Male,46,185.6,57.2,108,127,36.4,762.2
Female,62,161.3,112.0,102,107,36.7,1245.3
Male,52,184.5,75.9,117,101,38.9,922.3
Female,23,178.1,120.4,27,162,39.2,551.8
Female,37,158.5,127.8,105,187,39.6,2502.9
Female,63,194.6,119.7,145,72,36.8,1239.3
Male,53,187.3,56.4,136,97,39.3,771.9
Female,52,151.2,45.1,43,142,38.7,255.2
Male,50,186.8,69.5,37,128,37.3,313.3
Male,23,168.1,60.3,59,185,36.1,659.8
Female,65,168.1,82.4,130,71,36.2,771.3
Female,56,194.8,68.5,116,133,39.4,1039.4
Male,34,173.6,52.0,90,113,38.9,542.0
Male,61,157.8,125.1,44,97,40.0,508.3
Female,64,183.8,54.7,174,119,38.9,1157.6
Female,63,176.7,68.0,36,62,36.7,156.3
Male,50,151.4,80.9,72,73,37.3,402.6
Male,64,173.4,54.5,41,162,38.8,334.3
Female,24,152.9,111.8,131,136,37.1,1983.2
Female,28,169.3,86.6,108,125,38.0,1173.3
Male,20,151.7,128.5,114,84,38.0,1253.6
Male,30,175.5,73.2,17,108,37.9,117.3
Female,20,171.9,86.9,93,172,38.6,1417.4
Female,34,169.4,75.9,145,174,38.7,1900.2
Female,40,178.3,81.8,85,105,38.8,750.5
Male,53,155.4,79.7,47,137,36.7,513.2
Female,54,174.8,125.3,91,116,39.1,1332.2
Female,50,163.3,129.4,123,150,39.1,2393.9
Female,64,179.4,107.7,82,110,39.4,997.5
Female,30,158.4,121.0,174,156,37.4,3255.8
Male,55,185.1,57.9,119,79,37.1,518.7
Male,33,189.5,57.9,102,107,38.3,641.2
Male,45,187.3,81.5,166,129,38.1,1742.9
Male,34,179.4,124.4,174,74,39.2,1589.6
Female,34,175.1,70.5,24,117,37.8,189.2
Male,26,162.7,62.0,71,184,37.9,794.9
Female,26,155.0,81.0,170,186,38.1,2532.1
Male,35,189.6,80.7,67,149,37.3,820.9
Female,36,193.3,79.6,115,122,36.3,1108.4
Male,63,176.9,84.5,180,88,36.4,1320.3
Female,60,150.0,62.2,31,106,36.1,196.7
Male,36,155.1,50.3,39,159,39.1,332.9
Female,31,161.5,118.0,161,139,36.3,2613.0
Female,28,178.3,61.5,144,149,38.2,1334.6
Female,59,170.8,55.5,149,69,36.9,548.7
Male,26,194.4,117.9,116,70,38.0,929.5
Male,30,176.0,65.3,13,70,36.1,44.3
Female,29,184.8,49.5,35,169,37.3,297.5
Female,33,171.7,115.6,78,73,37.4,662.8
Female,63,164.7,105.3,154,82,39.9,1348.9
Female,45,180.1,92.9,162,115,37.2,1705.7
Male,46,171.6,49.6,128,73,36.7,439.7
Male,59,153.3,62.6,174,77,38.9,860.1
Female,29,189.9,124.9,89,118,38.9,1292.4
Female,65,173.2,61.3,112,97,38.4,685.5
Male,39,157.8,125.3,129,122,37.4,1967.8
Male,38,176.1,104.1,36,64,36.7,239.3
Male,65,172.5,57.5,69,108,39.8,425.3
Female,29,191.1,76.7,82,165,38.5,1066.8
Male,28,188.4,49.9,14,116,38.2,95.2
Female,55,170.5,94.1,66,68,36.9,418.4
Female,31,162.3,105.5,100,128,37.4,1324.4
Female,55,163.9,77.1,177,76,39.4,1012.4
Male,41,157.7,93.7,76,145,37.9,1052.6
Male,29,165.2,112.3,60,148,39.1,979.6
Female,56,176.8,47.8,77,163,38.3,628.7
Male,47,152.8,113.9,108,109,38.5,1333.6
Female,30,173.4,49.7,48,97,38.2,234.6
Male,57,159.4,58.6,179,185,36.1,1924.4
Female,61,165.9,58.5,179,119,39.0,1216.9
Female,59,176.3,50.9,168,156,36.7,1342.8
Female,39,181.0,72.8,38,96,37.9,242.8
Female,62,174.0,49.6,46,166,37.8,394.1
Female,24,172.5,73.4,116,64,36.7,526.0
Male,27,174.3,76.9,62,105,38.9,526.6
Male,22,157.3,118.0,144,160,36.8,2746.0
Female,65,183.4,53.3,103,75,39.9,424.2
Female,42,156.4,126.9,22,116,36.0,313.4
Male,53,181.8,57.0,17,181,36.9,156.9
Male,62,194.2,115.9,108,127,37.6,1576.9
Male,36,159.6,90.4,131,123,39.8,1435.6
Female,57,180.4,79.2,76,104,36.2,621.0
Male,50,176.3,114.0,143,127,36.7,2082.8
Female,58,181.7,110.6,83,79,37.9,718.5
Male,29,175.7,70.6,12,189,36.6,161.4
Male,35,166.0,113.9,171,116,39.8,2246.2
Female,27,192.4,111.0,143,185,36.6,2927.5
Male,50,157.5,69.5,116,87,37.6,704.5
Male,29,179.6,49.4,30,120,38.3,150.2
Female,50,188.6,81.3,135,123,38.0,1356.8
Female,26,169.2,86.5,19,93,39.0,168.3
Male,20,173.0,119.1,26,122,37.3,353.4
Female,60,183.3,95.1,151,186,38.4,2647.5
Female,33,183.6,92.0,100,152,36.7,1425.0
Male,61,156.1,57.1,40,137,37.1,302.5
Male,53,167.3,112.8,128,99,36.6,1415.9
Female,32,161.0,94.0,106,69,38.1,713.9
Male,24,165.9,60.3,28,144,37.0,243.5
Female,46,161.4,57.3,76,137,37.0,607.9
Female,38,187.7,101.1,75,122,39.0,945.9
Female,62,181.9,100.6,139,121,38.5,1698.8
Female,37,153.8,68.5,167,185,37.5,2109.5
Male,20,151.0,112.7,77,179,37.3,1567.7
Female,26,176.1,124.0,98,63,36.4,756.7
Female,46,165.2,102.1,56,86,36.5,487.8
Male,51,155.9,121.0,85,181,38.0,1878.1
Female,39,161.1,49.1,97,138,39.1,668.6
Male,18,171.3,105.2,48,136,38.9,676.1
Female,48,162.3,74.9,109,118,37.1,944.7
Female,21,158.9,46.0,33,111,37.2,169.4
Male,23,179.4,86.5,164,70,39.9,978.6
Female,51,166.0,103.1,13,94,36.9,120.1
Male,60,191.0,45.5,180,174,36.4,1395.8
Male,58,157.7,68.0,53,175,37.6,623.0
Male,21,165.8,82.1,79,74,37.5,509.2
Female,63,188.2,48.4,23,179,36.5,203.4
Male,30,189.6,72.6,87,141,39.1,889.6
Male,65,188.8,106.0,71,152,36.1,1119.1
Female,59,172.6,110.5,45,167,36.7,824.2
Male,52,177.2,50.9,151,186,36.3,1444.1
Male,54,177.8,45.0,70,165,38.1,507.2
Female,31,178.2,83.1,179,160,39.5,2381.5
Male,40,187.3,55.1,155,164,38.3,1408.7
Female,20,169.7,54.0,81,115,38.6,511.3
Male,26,194.6,71.4,11,60,39.2,58.5
Male,44,156.0,82.5,65,117,38.8,609.9
Male,24,191.0,97.7,148,100,36.7,1424.1
Male,39,185.1,107.4,45,145,39.2,686.7
Female,53,170.5,112.6,46,115,39.6,621.1
Female,46,191.7,77.7,166,147,37.9,1904.6
Male,25,162.0,115.1,102,152,38.2,1775.3
Female,34,189.0,127.4,90,87,39.3,978.7
Female,37,190.6,45.5,174,135,37.8,1043.3
Female,52,170.4,92.1,65,161,38.2,975.6
Female,24,193.9,123.8,105,83,36.9,1060.1
Male,46,176.5,106.1,56,95,39.0,545.2
Female,65,156.2,107.0,68,108,38.0,761.1
Male,23,190.5,52.8,36,75,38.3,139.6
Male,27,153.9,72.7,64,94,36.1,411.2
Male,29,189.7,124.7,38,155,37.1,735.1
Female,62,165.8,53.5,121,67,39.3,455.2
Female,28,191.3,48.2,35,139,39.9,229.6
Female,49,164.6,95.1,69,99,37.6,675.4
Male,22,155.8,126.8,107,105,38.4,1443.8
Female,50,187.4,77.7,12,162,38.9,163.5
Female,39,153.5,82.8,77,87,39.3,577.9
Male,29,165.9,65.5,58,149,37.0,546.9
Male,49,180.4,67.4,104,62,39.8,458.0
Female,30,156.8,56.5,40,144,39.0,310.4
Male,27,183.6,48.3,101,126,36.3,590.9
Female,39,167.5,122.5,178,165,36.7,3592.6
Female,33,153.2,76.4,21,157,37.8,239.4
Female,51,184.5,94.8,76,134,39.8,991.3
Male,40,152.0,81.4,162,91,40.0,1222.9
Male,46,176.0,119.1,125,80,38.6,1203.4
Female,34,192.9,61.9,88,131,39.5,730.1
Male,34,180.5,104.3,102,127,39.1,1342.0
Female,52,154.1,124.2,49,121,36.5,724.2
Male,22,158.6,120.6,81,113,37.9,1084.5
Male,28,151.6,60.1,28,166,39.7,276.7
Female,65,182.5,84.1,83,190,37.8,1312.6
Female,23,181.0,122.4,74,128,38.2,1147.7
Female,51,180.8,124.9,140,173,39.0,3024.6
Male,19,168.7,60.6,151,73,38.4,649.7
Female,53,183.8,97.6,36,167,38.1,600.9
Male,23,156.9,106.5,146,74,37.1,1144.0
Female,63,150.5,83.0,88,109,38.3,813.5
Female,40,176.2,122.9,23,113,37.8,347.3
Male,56,168.1,79.5,110,94,37.4,837.1
Male,45,175.4,94.6,170,82,37.8,1329.8
Female,57,168.2,127.9,12,143,39.5,222.1
Female,55,152.1,55.6,57,157,37.7,515.9
Male,20,161.0,128.1,146,118,39.7,2185.4
Female,33,176.6,101.7,176,173,38.8,3078.4
Female,38,156.8,116.8,25,131,37.6,359.8
Female,41,177.4,88.4,92,108,36.7,907.1
Female,54,186.0,84.9,155,114,39.4,1528.2
